Name,Price,Source,Rating,Delivery,Ref Link
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","11,990",Amazon,4.4 out of 5 stars," Tuesday, March 2",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A001905017M56YG5OE548&url=%2FSamsung-Galaxy-Electric-Blue-128GB-Storage%2Fdp%2FB085J1J32G%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DMobile%26qid%3D1614323828%26sr%3D8-1-spons%26psc%3D1&qualifier=1614323828&id=1873303379898033&widgetName=sp_atf
New Apple iPhone 12 Mini (128GB) - Black,"5,004",Amazon,4.3 out of 5 stars, Tomorrow 11AM,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0372708NHFR6MBPC8TI&url=%2FNew-Apple-iPhone-Mini-128GB%2Fdp%2FB08L5VG843%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DMobile%26qid%3D1614323828%26sr%3D8-2-spons%26psc%3D1&qualifier=1614323828&id=1873303379898033&widgetName=sp_atf
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","6,799",Amazon,4.0 out of 5 stars, Tomorrow 11AM,https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_3?dchild=1&keywords=Mobile&qid=1614323828&sr=8-3
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","5,999",Amazon,4.0 out of 5 stars," Monday, March 1",https://www.amazon.in/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_4?dchild=1&keywords=Mobile&qid=1614323828&sr=8-4
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","7,499",Amazon,2.8 out of 5 stars," Monday, March 1",https://www.amazon.in/Panasonic-Storage-Finger-4000mAh-Battery/dp/B08BV2T63X/ref=sr_1_5?dchild=1&keywords=Mobile&qid=1614323828&sr=8-5
"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","16,499",Amazon,4.1 out of 5 stars, Tomorrow 11AM,https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_6?dchild=1&keywords=Mobile&qid=1614323828&sr=8-6
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","10,999",Amazon,3.4 out of 5 stars, Tomorrow 11AM,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_7?dchild=1&keywords=Mobile&qid=1614323828&sr=8-7
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",Amazon,3.9 out of 5 stars," Sunday, February 28",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_8?dchild=1&keywords=Mobile&qid=1614323828&sr=8-8
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","5,499",Amazon,4.2 out of 5 stars," Sunday, February 28",https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/dp/B07HGN617M/ref=sr_1_9?dchild=1&keywords=Mobile&qid=1614323828&sr=8-9
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","12,999",Amazon,4.2 out of 5 stars, Tomorrow 11AM,https://www.amazon.in/Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_10?dchild=1&keywords=Mobile&qid=1614323828&sr=8-10
